line_id,variant_id,seq,city_id
VVO-KRSNDR-3,1,10,Иркутск
VVO-KRSNDR-3,1,11,Тулун
VVO-KRSNDR-3,1,12,Красноярск
VVO-KRSNDR-3,1,13,Боготол
VVO-KRSNDR-3,1,14,Кемерово
VVO-KRSNDR-3,1,15,Новосибирск
VVO-KRSNDR-3,1,16,Омск
VVO-KRSNDR-3,1,17,Ишим
VVO-KRSNDR-3,1,18,Тюмень
VVO-KRSNDR-3,1,19,Екатеринбург
VVO-KRSNDR-3,1,20,Набережные Челны
VVO-KRSNDR-3,1,21,Уфа
VVO-KRSNDR-3,1,22,Тольятти
VVO-KRSNDR-3,1,23,Саратов
VVO-KRSNDR-3,1,24,Елец
VVO-KRSNDR-3,1,25,Воронеж
VVO-KRSNDR-3,1,26,Каменск-Шахтинский
VVO-KRSNDR-3,1,27,Ростов-на-Дону
VVO-KRSNDR-3,1,28,Краснодар

VVO-KRSNDR-4,1,1,Владивосток
VVO-KRSNDR-4,1,2,Уссурийск
VVO-KRSNDR-4,1,3,Хабаровск
VVO-KRSNDR-4,1,4,Биробиджан
VVO-KRSNDR-4,1,5,Благовещенск
VVO-KRSNDR-4,1,6,Свободный
VVO-KRSNDR-4,1,7,Сковородино
VVO-KRSNDR-4,1,8,Чита
VVO-KRSNDR-4,1,9,Улан-Удэ
VVO-KRSNDR-4,1,10,Иркутск
VVO-KRSNDR-4,1,11,Тулун
VVO-KRSNDR-4,1,12,Красноярск
VVO-KRSNDR-4,1,13,Боготол
VVO-KRSNDR-4,1,14,Кемерово
VVO-KRSNDR-4,1,15,Новосибирск
VVO-KRSNDR-4,1,16,Омск
VVO-KRSNDR-4,1,17,Ишим
VVO-KRSNDR-4,1,18,Тюмень
VVO-KRSNDR-4,1,19,Екатеринбург
VVO-KRSNDR-4,1,20,Набережные Челны
VVO-KRSNDR-4,1,21,Уфа
VVO-KRSNDR-4,1,22,Тольятти
VVO-KRSNDR-4,1,23,Саратов
VVO-KRSNDR-4,1,24,Елец
VVO-KRSNDR-4,1,25,Воронеж
VVO-KRSNDR-4,1,26,Каменск-Шахтинский
VVO-KRSNDR-4,1,27,Ростов-на-Дону
VVO-KRSNDR-4,1,28,Краснодар
MNSK-MSK,1,1,Москва
MNSK-MSK,1,2,Смоленск
MNSK-MSK,1,3,Минск
MSK-BLG,1,1,Москва
MSK-BLG,1,2,Серпухов
MSK-BLG,1,3,Тула
MSK-BLG,1,4,Орёл
MSK-BLG,1,5,Курск
MSK-BLG,1,6,Волгоград
KRD-NOV-GEL-TUA-SOC,1,1,Краснодар
KRD-NOV-GEL-TUA-SOC,1,2,Новороссийск
KRD-NOV-GEL-TUA-SOC,1,3,Геленджик
KRD-NOV-GEL-TUA-SOC,1,4,Туапсе
KRD-NOV-GEL-TUA-SOC,1,5,Сочи
UFA-MAG,1,1,Уфа
UFA-MAG,1,2,Магнитогорск
EKB-NTG,1,1,Екатеринбург
EKB-NTG,1,2,Нижний Тагил
